Veri Seti,Hedef,Algoritma,Base_Train_R2,Base_Test_R2,Base_Train_RMSE,Base_Test_RMSE,Base_Train_MAPE,Base_Test_MAPE,SMOGN_Train_R2,SMOGN_Test_R2,SMOGN_Train_RMSE,SMOGN_Test_RMSE,SMOGN_Train_MAPE,SMOGN_Test_MAPE,STGP-EF_Train_R2,STGP-EF_Test_R2,STGP-EF_Train_RMSE,STGP-EF_Test_RMSE,STGP-EF_Train_MAPE,STGP-EF_Test_MAPE,SMOGN+STGP-EF_Train_R2,SMOGN+STGP-EF_Test_R2,SMOGN+STGP-EF_Train_RMSE,SMOGN+STGP-EF_Test_RMSE,SMOGN+STGP-EF_Train_MAPE,SMOGN+STGP-EF_Test_MAPE,Max_Test_R2,Max_Senaryo
Doymuş Buhar,v buhar (çıktı),GP,0.980451,0.975797,0.139819,0.161482,0.207711,0.326144,0.968444,0.949980,0.230341,0.232147,0.250786,0.903118,0.986349,0.990038,0.116838,0.103599,0.298216,0.963793,0.994122,0.988657,0.099410,0.110549,0.201957,1.124488,0.990038,STGP-EF
Doymuş Buhar,v buhar (çıktı),KNN,0.996206,0.991489,0.061593,0.095758,0.035417,0.154398,0.998003,0.992224,0.057941,0.091533,0.075556,0.542377,0.996873,0.991186,0.055918,0.097449,0.031338,0.196670,0.998256,0.993420,0.054156,0.084197,0.051528,0.505013,0.993420,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),LightGBM,0.814098,0.784518,0.431164,0.481831,0.238880,0.382116,0.976787,0.964124,0.197556,0.196602,0.176361,1.096218,0.933348,0.914630,0.258171,0.303278,0.164858,0.276774,0.977534,0.967116,0.194354,0.188228,0.113839,0.206584,0.967116,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),RF,0.999709,0.996472,0.017057,0.061652,0.018063,0.097909,0.999675,0.997028,0.023380,0.056582,0.033226,0.361695,0.999673,0.996737,0.018091,0.059295,0.015345,0.049539,0.999700,0.996834,0.022445,0.058404,0.017252,0.173617,0.997028,SMOGN
Doymuş Buhar,v buhar (çıktı),XGBoost,0.999996,0.992865,0.001997,0.087680,0.003559,0.265944,0.999998,0.991805,0.001778,0.093966,0.002003,0.313871,0.999998,0.993410,0.001544,0.084259,0.002592,0.272008,0.999998,0.991797,0.001744,0.094008,0.002039,0.313646,0.993410,STGP-EF
Doymuş Buhar,v sıvı (çıktı),AdaBoost,0.997229,0.994280,0.052643,0.074916,0.095817,0.337930,0.993085,0.979009,0.106705,0.143515,0.105545,4.310228,0.998184,0.996652,0.042610,0.057317,0.076437,0.256851,0.995116,0.986996,0.089676,0.112959,0.084219,3.485615,0.996652,STGP-EF
Doymuş Buhar,v sıvı (çıktı),CatBoost,0.999748,0.998069,0.015889,0.043527,0.051114,0.739751,0.999601,0.997610,0.025619,0.048424,0.024210,1.645930,0.999829,0.998679,0.013087,0.036006,0.041921,0.240094,0.999740,0.997356,0.020690,0.050938,0.015834,2.578309,0.998679,STGP-EF
Doymuş Buhar,v sıvı (çıktı),DART,0.877439,0.925218,0.350087,0.270884,0.206878,0.410172,0.937719,0.898004,0.320243,0.316356,0.274416,10.245761,0.901566,0.939243,0.313742,0.244164,0.169013,0.809932,0.955403,0.938351,0.270991,0.245950,0.166652,1.709124,0.939243,STGP-EF
Doymuş Buhar,v sıvı (çıktı),EF,1.000000,0.999957,0.000000,0.006511,0.000000,0.008158,1.000000,0.999469,0.000000,0.022831,0.000000,1.201461,1.000000,0.999961,0.000000,0.006195,0.000000,0.005824,1.000000,0.999519,0.000000,0.021725,0.000000,0.257816,0.999961,STGP-EF
Doymuş Buhar,v sıvı (çıktı),ET,1.000000,0.999965,0.000000,0.005821,0.000000,0.010532,1.000000,0.999681,0.000000,0.017697,0.000000,0.449144,1.000000,0.999983,0.000000,0.004095,0.000000,0.011630,1.000000,0.999612,0.000000,0.019519,0.000000,0.165656,0.999983,STGP-EF
Doymuş Buhar,v sıvı (çıktı),GBDT,0.999999,0.998030,0.000816,0.043965,0.002182,0.390539,0.999999,0.996711,0.001018,0.056809,0.000754,1.920815,1.000000,0.998645,0.000702,0.036467,0.002291,0.317020,0.999999,0.997097,0.000948,0.053372,0.000686,0.963416,0.998645,STGP-EF
Doymuş Buhar,v sıvı (çıktı),GP,0.960146,0.959542,0.199634,0.199244,0.233303,0.653948,0.972063,0.966781,0.214483,0.180542,0.155137,2.341184,0.937273,0.956470,0.250454,0.206671,0.494308,1.578442,0.975465,0.963037,0.201000,0.190444,0.343031,10.352468,0.966781,SMOGN
